[00:40:48] [User Authenticator #12/INFO]: UUID of player tannerd88 is e0436caf-67d5-4325-85f0-1e0aff6dc16e
[00:40:48] [Server thread/INFO]: tannerd88[/209.6.44.49:50593] logged in with entity id 67912 at (-4319.629877346516, 66.0, -1395.9815485744612)
[00:40:48] [Server thread/INFO]: tannerd88 joined the game
[00:41:13] [Server thread/INFO]: tannerd88 lost connection: Disconnected
[00:41:13] [Server thread/INFO]: tannerd88 left the game
[00:53:39] [User Authenticator #13/INFO]: UUID of player papajohnxiiv is c473b258-b583-4d22-b435-f516c3b7e0c6
[00:53:39] [Server thread/INFO]: papajohnxiiv[/45.56.142.7:51133] logged in with entity id 68217 at (-4267.6744764885, 87.0, -1504.3030276004313)
[00:53:39] [Server thread/INFO]: papajohnxiiv joined the game
[00:56:42] [User Authenticator #14/INFO]: UUID of player tannerd88 is e0436caf-67d5-4325-85f0-1e0aff6dc16e
[00:56:42] [Server thread/INFO]: tannerd88[/209.6.44.49:50832] logged in with entity id 68796 at (-4317.201584853404, 66.0, -1390.557806221159)
[00:56:42] [Server thread/INFO]: tannerd88 joined the game
[01:00:59] [Server thread/INFO]: <tannerd88> hello?
[01:01:14] [Server thread/INFO]: papajohnxiiv lost connection: Disconnected
[01:01:14] [Server thread/INFO]: papajohnxiiv left the game
[01:03:40] [User Authenticator #15/INFO]: UUID of player papajohnxiiv is c473b258-b583-4d22-b435-f516c3b7e0c6
[01:03:40] [Server thread/INFO]: papajohnxiiv[/45.56.142.7:52583] logged in with entity id 70868 at (-4313.354198407072, 89.49390748022948, -1438.1442352129518)
[01:03:40] [Server thread/INFO]: papajohnxiiv joined the game
[01:05:52] [Server thread/INFO]: tannerd88 lost connection: Disconnected
[01:05:52] [Server thread/INFO]: tannerd88 left the game
[01:05:55] [User Authenticator #16/INFO]: UUID of player tannerd88 is e0436caf-67d5-4325-85f0-1e0aff6dc16e
[01:05:55] [Server thread/INFO]: tannerd88[/209.6.44.49:50851] logged in with entity id 71347 at (-4350.986378169079, 47.71432155689964, -1290.621015449961)
[01:05:55] [Server thread/INFO]: tannerd88 joined the game
[01:07:43] [Server thread/WARN]: Trying to add entity with duplicated UUID dffe8545-453a-43ee-b9bb-144a0243b04d. Existing minecraft:armor_stand#71787, new: minecraft:armor_stand#71787
[01:13:29] [Server thread/WARN]: Trying to add entity with duplicated UUID 11431b92-c667-470a-898a-c795c2c4abf8. Existing minecraft:armor_stand#73179, new: minecraft:armor_stand#73179
[01:16:52] [Server thread/INFO]: [papajohnxiiv: Teleported papajohnxiiv to tannerd88]
[01:19:19] [Server thread/INFO]: papajohnxiiv has made the advancement [Hot Stuff]
[01:20:40] [Server thread/INFO]: [tannerd88: Teleported tannerd88 to papajohnxiiv]
[01:22:03] [Server thread/INFO]: [papajohnxiiv: Teleported papajohnxiiv to tannerd88]
[01:26:59] [Server thread/INFO]: [tannerd88: Teleported tannerd88 to -4315.5, 67.0, -1395.5]
[01:28:49] [Server thread/INFO]: [tannerd88: Teleported tannerd88 to -4315.5, 67.0, -1395.5]
[01:29:31] [Server thread/INFO]: [tannerd88: Teleported tannerd88 to -4315.5, 67.0, -1395.5]
[01:29:58] [Server thread/INFO]: [papajohnxiiv: Teleported papajohnxiiv to tannerd88]
[01:31:13] [Server thread/INFO]: [papajohnxiiv: Teleported papajohnxiiv to tannerd88]
[01:33:47] [Server thread/INFO]: [papajohnxiiv: Teleported papajohnxiiv to tannerd88]
[01:34:44] [Server thread/INFO]: <tannerd88> can you hear me?
[01:35:00] [Server thread/INFO]: <tannerd88> i cant hear you anymore
[01:55:49] [Server thread/INFO]: [papajohnxiiv: Teleported papajohnxiiv to tannerd88]
[02:00:36] [Server thread/INFO]: [papajohnxiiv: Teleported papajohnxiiv to tannerd88]
[02:03:26] [Server thread/INFO]: [papajohnxiiv: Teleported papajohnxiiv to tannerd88]
[02:07:26] [Server thread/WARN]: Fetching packet for removed entity bcs['Dark Oak Planks'/85431, l='ServerLevel[world]', x=-4598.35, y=93.44, z=-463.47]
[02:08:06] [Server thread/WARN]: Fetching packet for removed entity bcs['Cobblestone Stairs'/85746, l='ServerLevel[world]', x=-4609.40, y=83.32, z=-478.63]
[02:08:06] [Server thread/WARN]: Fetching packet for removed entity bcs['Cobblestone Wall'/85747, l='ServerLevel[world]', x=-4609.31, y=83.43, z=-475.53]
[02:08:06] [Server thread/WARN]: Fetching packet for removed entity bcs['Cobblestone Wall'/85747, l='ServerLevel[world]', x=-4609.31, y=83.43, z=-475.53]
[02:08:24] [Server thread/WARN]: Fetching packet for removed entity bcs['Dark Oak Planks'/86000, l='ServerLevel[world]', x=-4576.27, y=90.49, z=-472.36]
[02:08:24] [Server thread/WARN]: Fetching packet for removed entity bcs['Dark Oak Planks'/86000, l='ServerLevel[world]', x=-4576.27, y=90.49, z=-472.36]
[02:08:24] [Server thread/WARN]: Fetching packet for removed entity bcs['Dark Oak Log'/86001, l='ServerLevel[world]', x=-4575.52, y=91.68, z=-472.73]
[02:08:24] [Server thread/WARN]: Fetching packet for removed entity bcs['Dark Oak Log'/86001, l='ServerLevel[world]', x=-4575.52, y=91.68, z=-472.73]
[02:08:26] [Server thread/WARN]: Fetching packet for removed entity bcs['Dark Oak Planks'/86034, l='ServerLevel[world]', x=-4575.53, y=93.28, z=-451.72]
[02:08:26] [Server thread/WARN]: Fetching packet for removed entity bcs['Dark Oak Planks'/86034, l='ServerLevel[world]', x=-4575.53, y=93.28, z=-451.72]
[02:08:26] [Server thread/WARN]: Fetching packet for removed entity bcs['Dark Oak Planks'/86035, l='ServerLevel[world]', x=-4574.52, y=93.55, z=-450.26]
[02:08:26] [Server thread/WARN]: Fetching packet for removed entity bcs['Dark Oak Planks'/86035, l='ServerLevel[world]', x=-4574.52, y=93.55, z=-450.26]
[02:08:51] [Server thread/WARN]: Fetching packet for removed entity bcs['Cobblestone'/86161, l='ServerLevel[world]', x=-4576.33, y=90.43, z=-488.63]
[02:08:51] [Server thread/WARN]: Fetching packet for removed entity bcs['Cobblestone'/86161, l='ServerLevel[world]', x=-4576.33, y=90.43, z=-488.63]
[02:09:54] [Server thread/WARN]: Fetching packet for removed entity bcs['Red Carpet'/86445, l='ServerLevel[world]', x=-4577.26, y=72.41, z=-483.48]
[02:09:54] [Server thread/WARN]: Fetching packet for removed entity bcs['Red Carpet'/86445, l='ServerLevel[world]', x=-4577.26, y=72.41, z=-483.48]
[02:09:54] [Server thread/WARN]: Fetching packet for removed entity bcs['Red Carpet'/86448, l='ServerLevel[world]', x=-4576.62, y=72.62, z=-483.54]
[02:09:54] [Server thread/WARN]: Fetching packet for removed entity bcs['Red Carpet'/86448, l='ServerLevel[world]', x=-4576.62, y=72.62, z=-483.54]
[02:09:54] [Server thread/WARN]: Fetching packet for removed entity bcs['White Carpet'/86449, l='ServerLevel[world]', x=-4574.44, y=72.60, z=-480.63]
[02:09:54] [Server thread/WARN]: Fetching packet for removed entity bcs['White Carpet'/86449, l='ServerLevel[world]', x=-4574.44, y=72.60, z=-480.63]
[02:09:54] [Server thread/WARN]: Fetching packet for removed entity bcs['Red Carpet'/86452, l='ServerLevel[world]', x=-4573.40, y=72.49, z=-482.39]
[02:09:54] [Server thread/WARN]: Fetching packet for removed entity bcs['Red Carpet'/86452, l='ServerLevel[world]', x=-4573.40, y=72.49, z=-482.39]
[02:09:54] [Server thread/WARN]: Fetching packet for removed entity bcs['White Carpet'/86454, l='ServerLevel[world]', x=-4576.49, y=72.73, z=-482.70]
[02:09:54] [Server thread/WARN]: Fetching packet for removed entity bcs['White Carpet'/86454, l='ServerLevel[world]', x=-4576.49, y=72.73, z=-482.70]
[02:09:54] [Server thread/WARN]: Fetching packet for removed entity bcs['White Carpet'/86462, l='ServerLevel[world]', x=-4577.42, y=72.75, z=-482.72]
[02:09:54] [Server thread/WARN]: Fetching packet for removed entity bcs['White Carpet'/86462, l='ServerLevel[world]', x=-4577.42, y=72.75, z=-482.72]
[02:09:54] [Server thread/WARN]: Fetching packet for removed entity bcs['White Carpet'/86465, l='ServerLevel[world]', x=-4578.60, y=72.28, z=-482.35]
[02:09:54] [Server thread/WARN]: Fetching packet for removed entity bcs['White Carpet'/86465, l='ServerLevel[world]', x=-4578.60, y=72.28, z=-482.35]
[02:09:54] [Server thread/WARN]: Fetching packet for removed entity bcs['Red Carpet'/86466, l='ServerLevel[world]', x=-4573.67, y=72.59, z=-481.62]
[02:09:54] [Server thread/WARN]: Fetching packet for removed entity bcs['Red Carpet'/86466, l='ServerLevel[world]', x=-4573.67, y=72.59, z=-481.62]
[02:09:54] [Server thread/WARN]: Fetching packet for removed entity bcs['White Carpet'/86468, l='ServerLevel[world]', x=-4574.75, y=72.32, z=-481.62]
[02:09:54] [Server thread/WARN]: Fetching packet for removed entity bcs['White Carpet'/86468, l='ServerLevel[world]', x=-4574.75, y=72.32, z=-481.62]
[02:09:54] [Server thread/WARN]: Fetching packet for removed entity bcs['Red Carpet'/86469, l='ServerLevel[world]', x=-4572.32, y=64.71, z=-482.39]
[02:09:54] [Server thread/WARN]: Fetching packet for removed entity bcs['Red Carpet'/86469, l='ServerLevel[world]', x=-4572.32, y=64.71, z=-482.39]
[02:09:54] [Server thread/WARN]: Fetching packet for removed entity bcs['White Carpet'/86471, l='ServerLevel[world]', x=-4574.26, y=72.41, z=-482.72]
[02:09:54] [Server thread/WARN]: Fetching packet for removed entity bcs['White Carpet'/86471, l='ServerLevel[world]', x=-4574.26, y=72.41, z=-482.72]
[02:09:54] [Server thread/WARN]: Fetching packet for removed entity bcs['Torch'/86472, l='ServerLevel[world]', x=-4574.51, y=68.67, z=-480.32]
[02:09:54] [Server thread/WARN]: Fetching packet for removed entity bcs['Torch'/86472, l='ServerLevel[world]', x=-4574.51, y=68.67, z=-480.32]
[02:09:54] [Server thread/WARN]: Fetching packet for removed entity bcs['Birch Planks'/86473, l='ServerLevel[world]', x=-4577.38, y=71.61, z=-483.48]
[02:09:54] [Server thread/WARN]: Fetching packet for removed entity bcs['Birch Planks'/86473, l='ServerLevel[world]', x=-4577.38, y=71.61, z=-483.48]
[02:09:54] [Server thread/WARN]: Fetching packet for removed entity bcs['Dark Oak Planks'/86476, l='ServerLevel[world]', x=-4576.39, y=65.58, z=-481.75]
[02:09:54] [Server thread/WARN]: Fetching packet for removed entity bcs['Dark Oak Planks'/86476, l='ServerLevel[world]', x=-4576.39, y=65.58, z=-481.75]
[02:09:54] [Server thread/WARN]: Fetching packet for removed entity bcs['Birch Planks'/86477, l='ServerLevel[world]', x=-4575.73, y=71.29, z=-481.38]
[02:09:54] [Server thread/WARN]: Fetching packet for removed entity bcs['Birch Planks'/86477, l='ServerLevel[world]', x=-4575.73, y=71.29, z=-481.38]
[02:09:54] [Server thread/WARN]: Fetching packet for removed entity bcs['Red Carpet'/86478, l='ServerLevel[world]', x=-4571.48, y=64.37, z=-485.52]
[02:09:54] [Server thread/WARN]: Fetching packet for removed entity bcs['Red Carpet'/86478, l='ServerLevel[world]', x=-4571.48, y=64.37, z=-485.52]
[02:09:54] [Server thread/WARN]: Fetching packet for removed entity bcs['Dark Oak Fence'/86479, l='ServerLevel[world]', x=-4574.71, y=67.56, z=-480.26]
[02:09:54] [Server thread/WARN]: Fetching packet for removed entity bcs['Dark Oak Fence'/86479, l='ServerLevel[world]', x=-4574.71, y=67.56, z=-480.26]
[02:09:54] [Server thread/WARN]: Fetching packet for removed entity bcs['Dark Oak Planks'/86487, l='ServerLevel[world]', x=-4577.30, y=69.37, z=-480.70]
[02:09:54] [Server thread/WARN]: Fetching packet for removed entity bcs['Dark Oak Planks'/86487, l='ServerLevel[world]', x=-4577.30, y=69.37, z=-480.70]
[02:09:54] [Server thread/WARN]: Fetching packet for removed entity bcs['Birch Planks'/86489, l='ServerLevel[world]', x=-4580.33, y=63.68, z=-485.50]
[02:09:54] [Server thread/WARN]: Fetching packet for removed entity bcs['Birch Planks'/86489, l='ServerLevel[world]', x=-4580.33, y=63.68, z=-485.50]
[02:09:54] [Server thread/WARN]: Fetching packet for removed entity bcs['Dark Oak Log'/86492, l='ServerLevel[world]', x=-4580.40, y=66.67, z=-488.35]
[02:09:54] [Server thread/WARN]: Fetching packet for removed entity bcs['Dark Oak Log'/86492, l='ServerLevel[world]', x=-4580.40, y=66.67, z=-488.35]
[02:09:54] [Server thread/WARN]: Fetching packet for removed entity bcs['Birch Planks'/86493, l='ServerLevel[world]', x=-4576.44, y=63.48, z=-487.46]
[02:09:54] [Server thread/WARN]: Fetching packet for removed entity bcs['Birch Planks'/86493, l='ServerLevel[world]', x=-4576.44, y=63.48, z=-487.46]
[02:10:37] [Server thread/WARN]: Fetching packet for removed entity bcs['Dark Oak Planks'/86699, l='ServerLevel[world]', x=-4577.59, y=93.61, z=-446.71]
[02:10:37] [Server thread/WARN]: Fetching packet for removed entity bcs['Dark Oak Planks'/86699, l='ServerLevel[world]', x=-4577.59, y=93.61, z=-446.71]
[02:10:37] [Server thread/WARN]: Fetching packet for removed entity bcs['Dark Oak Planks'/86700, l='ServerLevel[world]', x=-4581.72, y=93.41, z=-448.32]
[02:10:37] [Server thread/WARN]: Fetching packet for removed entity bcs['Dark Oak Planks'/86700, l='ServerLevel[world]', x=-4581.72, y=93.41, z=-448.32]
[02:10:37] [Server thread/WARN]: Fetching packet for removed entity bcs['Dark Oak Stairs'/86717, l='ServerLevel[world]', x=-4579.55, y=93.36, z=-440.49]
[02:10:37] [Server thread/WARN]: Fetching packet for removed entity bcs['Dark Oak Stairs'/86717, l='ServerLevel[world]', x=-4579.55, y=93.36, z=-440.49]
[02:10:37] [Server thread/WARN]: Fetching packet for removed entity bcs['Dark Oak Planks'/86718, l='ServerLevel[world]', x=-4575.67, y=93.74, z=-442.53]
[02:10:37] [Server thread/WARN]: Fetching packet for removed entity bcs['Dark Oak Planks'/86718, l='ServerLevel[world]', x=-4575.67, y=93.74, z=-442.53]
[02:10:37] [Server thread/WARN]: Fetching packet for removed entity bcs['Dark Oak Stairs'/86719, l='ServerLevel[world]', x=-4580.35, y=92.72, z=-439.32]
[02:10:37] [Server thread/WARN]: Fetching packet for removed entity bcs['Dark Oak Stairs'/86719, l='ServerLevel[world]', x=-4580.35, y=92.72, z=-439.32]
[02:10:38] [Server thread/WARN]: Fetching packet for removed entity bcs['Birch Planks'/86811, l='ServerLevel[world]', x=-4582.59, y=82.44, z=-450.57]
[02:10:38] [Server thread/WARN]: Fetching packet for removed entity bcs['Birch Planks'/86811, l='ServerLevel[world]', x=-4582.59, y=82.44, z=-450.57]
[02:10:38] [Server thread/WARN]: Fetching packet for removed entity bcs['Oak Stairs'/86813, l='ServerLevel[world]', x=-4578.63, y=83.45, z=-451.37]
[02:10:38] [Server thread/WARN]: Fetching packet for removed entity bcs['Oak Stairs'/86813, l='ServerLevel[world]', x=-4578.63, y=83.45, z=-451.37]
[02:10:38] [Server thread/WARN]: Fetching packet for removed entity bcs['Dark Oak Fence'/86814, l='ServerLevel[world]', x=-4585.51, y=86.42, z=-450.32]
[02:10:38] [Server thread/WARN]: Fetching packet for removed entity bcs['Dark Oak Fence'/86814, l='ServerLevel[world]', x=-4585.51, y=86.42, z=-450.32]
[02:10:38] [Server thread/WARN]: Fetching packet for removed entity bcs['Cobblestone Wall'/86815, l='ServerLevel[world]', x=-4585.26, y=83.45, z=-451.30]
[02:10:38] [Server thread/WARN]: Fetching packet for removed entity bcs['Cobblestone Wall'/86815, l='ServerLevel[world]', x=-4585.26, y=83.45, z=-451.30]
[02:10:38] [Server thread/WARN]: Fetching packet for removed entity bcs['Dark Oak Log'/86816, l='ServerLevel[world]', x=-4584.61, y=84.64, z=-446.38]
[02:10:38] [Server thread/WARN]: Fetching packet for removed entity bcs['Dark Oak Log'/86816, l='ServerLevel[world]', x=-4584.61, y=84.64, z=-446.38]
[02:10:38] [Server thread/WARN]: Fetching packet for removed entity bcs['Lime Carpet'/86817, l='ServerLevel[world]', x=-4578.71, y=84.39, z=-446.69]
[02:10:38] [Server thread/WARN]: Fetching packet for removed entity bcs['Lime Carpet'/86817, l='ServerLevel[world]', x=-4578.71, y=84.39, z=-446.69]
[02:10:38] [Server thread/WARN]: Fetching packet for removed entity bcs['Blue Carpet'/86818, l='ServerLevel[world]', x=-4577.28, y=84.70, z=-447.45]
[02:10:38] [Server thread/WARN]: Fetching packet for removed entity bcs['Blue Carpet'/86818, l='ServerLevel[world]', x=-4577.28, y=84.70, z=-447.45]
[02:10:38] [Server thread/WARN]: Fetching packet for removed entity bcs['Blue Carpet'/86819, l='ServerLevel[world]', x=-4576.38, y=84.26, z=-450.74]
[02:10:38] [Server thread/WARN]: Fetching packet for removed entity bcs['Blue Carpet'/86819, l='ServerLevel[world]', x=-4576.38, y=84.26, z=-450.74]
[02:10:38] [Server thread/WARN]: Fetching packet for removed entity bcs['Lime Carpet'/86821, l='ServerLevel[world]', x=-4577.41, y=84.31, z=-449.37]
[02:10:38] [Server thread/WARN]: Fetching packet for removed entity bcs['Lime Carpet'/86821, l='ServerLevel[world]', x=-4577.41, y=84.31, z=-449.37]
[02:10:38] [Server thread/WARN]: Fetching packet for removed entity bcs['Lime Carpet'/86824, l='ServerLevel[world]', x=-4576.66, y=84.58, z=-446.37]
[02:10:38] [Server thread/WARN]: Fetching packet for removed entity bcs['Lime Carpet'/86824, l='ServerLevel[world]', x=-4576.66, y=84.58, z=-446.37]
[02:10:38] [Server thread/WARN]: Fetching packet for removed entity bcs['Blue Carpet'/86825, l='ServerLevel[world]', x=-4574.32, y=84.68, z=-449.36]
[02:10:38] [Server thread/WARN]: Fetching packet for removed entity bcs['Blue Carpet'/86825, l='ServerLevel[world]', x=-4574.32, y=84.68, z=-449.36]
[02:10:38] [Server thread/WARN]: Fetching packet for removed entity bcs['Oak Planks'/86826, l='ServerLevel[world]', x=-4578.56, y=83.31, z=-446.68]
[02:10:38] [Server thread/WARN]: Fetching packet for removed entity bcs['Oak Planks'/86826, l='ServerLevel[world]', x=-4578.56, y=83.31, z=-446.68]
[02:10:38] [Server thread/WARN]: Fetching packet for removed entity bcs['Birch Planks'/86827, l='ServerLevel[world]', x=-4578.44, y=82.26, z=-453.56]
[02:10:38] [Server thread/WARN]: Fetching packet for removed entity bcs['Birch Planks'/86827, l='ServerLevel[world]', x=-4578.44, y=82.26, z=-453.56]
[02:10:38] [Server thread/WARN]: Fetching packet for removed entity bcs['Lime Carpet'/86828, l='ServerLevel[world]', x=-4576.39, y=84.49, z=-449.59]
[02:10:38] [Server thread/WARN]: Fetching packet for removed entity bcs['Lime Carpet'/86828, l='ServerLevel[world]', x=-4576.39, y=84.49, z=-449.59]
[02:10:38] [Server thread/WARN]: Fetching packet for removed entity bcs['Oak Fence'/86829, l='ServerLevel[world]', x=-4576.33, y=88.28, z=-448.56]
[02:10:38] [Server thread/WARN]: Fetching packet for removed entity bcs['Oak Fence'/86829, l='ServerLevel[world]', x=-4576.33, y=88.28, z=-448.56]
[02:10:38] [Server thread/WARN]: Fetching packet for removed entity bcs['Oak Stairs'/86830, l='ServerLevel[world]', x=-4577.55, y=83.30, z=-451.65]
[02:10:38] [Server thread/WARN]: Fetching packet for removed entity bcs['Oak Stairs'/86830, l='ServerLevel[world]', x=-4577.55, y=83.30, z=-451.65]
[02:10:38] [Server thread/WARN]: Fetching packet for removed entity bcs['Dark Oak Log'/86831, l='ServerLevel[world]', x=-4584.65, y=85.41, z=-446.61]
[02:10:38] [Server thread/WARN]: Fetching packet for removed entity bcs['Dark Oak Log'/86831, l='ServerLevel[world]', x=-4584.65, y=85.41, z=-446.61]
[02:10:38] [Server thread/WARN]: Fetching packet for removed entity bcs['Dark Oak Planks'/86832, l='ServerLevel[world]', x=-4582.64, y=81.72, z=-448.45]
